"","Date_réception_DPE","N°DPE","Code_postal_(BAN)","Etiquette_DPE","_score"
"1","2023-07-19","2369E2430265M","69001","E",30.190437
"2","2023-08-03","2369E2624199M","69001","D",30.190437
"3","2023-08-10","2369E2704148L","69001","E",30.190437
"4","2023-08-03","2369E2630649O","69001","C",30.190437
"5","2023-07-19","2369E2427339Y","69001","C",30.190437
"6","2023-07-24","2369E2493881G","69001","D",30.190437
"7","2023-07-10","2369E2328701E","69001","D",30.190437
"8","2023-07-06","2369E2284045Q","69001","E",30.190437
"9","2023-07-24","2369E2480688V","69001","F",30.190437
"10","2023-07-18","2369E2415570H","69001","E",30.190437
"11","2023-07-17","2369E2398719E","69001","F",30.190437
"12","2023-07-04","2369E2251314T","69001","F",30.190437
"13","2023-08-07","2369E2663601Y","69001","E",30.190437
"14","2023-07-16","2369E2387932H","69001","C",30.190437
"15","2023-07-01","2369E2220713U","69001","F",30.190437
"16","2023-08-01","2369E2602550V","69001","G",30.190437
"17","2023-07-02","2369E2222583S","69001","D",30.190437
"18","2023-07-17","2369E2402640Z","69001","D",30.190437
"19","2023-08-02","2369E2606618H","69001","C",30.190437
"20","2023-07-21","2369E2455770L","69001","G",30.190437
"21","2023-08-17","2369E2749049K","69001","D",30.190437
"22","2023-08-05","2369E2651056L","69001","F",30.190437
"23","2023-08-28","2369E2843579E","69001","G",30.190437
"24","2023-07-05","2369E2263077E","69001","C",30.190437
"25","2023-07-16","2369E2387870X","69001","C",30.190437
"26","2023-07-05","2369E2270135Q","69001","E",30.190437
"27","2023-07-13","2369E2379188Z","69001","E",30.190437
"28","2023-07-17","2369E2402959G","69001","D",30.190437
"29","2023-08-01","2369E2603990F","69001","D",30.190437
"30","2023-07-12","2369E2365706L","69001","E",30.190437
"31","2023-08-04","2369E2642594Z","69001","D",30.190437
"32","2023-08-03","2369E2621814T","69001","E",30.190437
"33","2023-07-27","2369E2536384Z","69001","D",30.190437
"34","2023-08-23","2369E2799215W","69001","D",30.190437
"35","2023-08-09","2369E2691703U","69001","D",30.190437
"36","2023-08-09","2369E2690114R","69001","E",30.190437
"37","2023-07-03","2369E2227363O","69001","E",30.190437
"38","2023-08-02","2369E2618595Y","69001","G",30.190437
"39","2023-08-23","2369E2799452Z","69001","E",30.190437
"40","2023-07-09","2369E2313910H","69001","F",30.190437
"41","2023-07-21","2369E2465172B","69001","D",30.190437
"42","2023-07-25","2369E2513129O","69001","E",30.190437
"43","2023-07-19","2369E2428337I","69001","E",30.190437
"44","2023-07-26","2369E2526474V","69001","C",30.190437
"45","2023-08-18","2369E2752244H","69001","F",30.190437
"46","2023-08-03","2369E2633099U","69001","G",30.190437
"47","2023-08-03","2369E2622125S","69001","D",30.190437
"48","2023-08-17","2369E2743020N","69001","D",30.190437
"49","2023-07-04","2369E2244542H","69001","D",30.190437
"50","2023-08-25","2369E2826843M","69001","F",30.190437
"51","2023-07-21","2369E2459986P","69001","C",30.190437
"52","2023-07-25","2369E2503258X","69001","E",30.190437
"53","2023-08-08","2369E2673420P","69001","E",30.190437
"54","2023-08-24","2369E2808702T","69001","G",30.190437
"55","2023-08-04","2369E2645093C","69001","D",30.190437
"56","2023-08-28","2369E2844680N","69001","D",30.190437
"57","2023-07-16","2369E2387848B","69001","C",30.190437
"58","2023-07-18","2369E2407499W","69001","D",30.190437
"59","2023-08-28","2369E2843605E","69001","G",30.190437
"60","2023-07-10","2369E2331837U","69001","D",30.190437
"61","2023-07-25","2369E2510269O","69001","E",30.190437
"62","2023-07-16","2369E2388016N","69001","C",30.190437
"63","2023-08-28","2369E2843536N","69001","E",30.190437
"64","2023-08-07","2369E2657782D","69001","D",30.190437
"65","2023-07-28","2369E2561729U","69001","C",30.190437
"66","2023-07-25","2369E2509590L","69001","F",30.190437
"67","2023-07-31","2369E2584965M","69001","C",30.190437
"68","2023-08-24","2369E2814082R","69001","G",30.190437
"69","2023-07-04","2369E2252267K","69001","E",30.190437
"70","2023-08-07","2369E2662653M","69001","C",30.190437
"71","2023-08-28","2369E2843597W","69001","E",30.190437
"72","2023-08-28","2369E2843592R","69001","F",30.190437
"73","2023-08-28","2369E2845149O","69001","E",30.190437
"74","2023-07-19","2369E2435022L","69001","F",30.190437
"75","2023-07-07","2369E2297886Z","69001","C",30.190437
"76","2023-07-04","2369E2255433E","69001","D",30.190437
"77","2023-08-07","2369E2666154D","69001","F",30.190437
"78","2023-07-16","2369E2388059E","69001","D",30.190437
"79","2023-08-01","2369E2603480P","69001","E",30.190437
"80","2023-08-01","2369E2603664R","69001","D",30.190437
"81","2023-07-24","2369E2487493O","69001","D",30.190437
"82","2023-07-20","2369E2443135M","69001","F",30.190437
"83","2023-07-25","2369E2506901A","69001","E",30.190437
"84","2023-07-11","2369E2348475S","69001","D",30.190437
"85","2023-07-18","2369E2418380J","69001","G",30.190437
"86","2023-08-02","2369E2609266D","69001","C",30.190437
"87","2023-08-02","2369E2614162L","69001","E",30.190437
"88","2023-07-04","2369E2253730R","69001","E",30.190437
"89","2023-08-22","2369E2780384P","69001","D",30.190437
"90","2023-07-03","2369E2230585M","69001","E",30.190437
"91","2023-07-11","2369E2345049Y","69001","C",30.190437
"92","2023-07-04","2369E2244139U","69001","D",30.190437
"93","2023-07-12","2369E2350526P","69001","E",30.190437
"94","2023-08-23","2369E2793401G","69001","E",30.190437
"95","2023-07-19","2369E2425107C","69001","E",30.190437
"96","2023-07-26","2369E2520351I","69001","D",30.190437
"97","2023-08-07","2369E2657732F","69001","E",30.190437
"98","2023-07-30","2369E2573162N","69001","C",30.190437
